time;"Top model,Crop:CropPhenology.TempEff";"Top model,Crop:CropPhenology.TempMean";"Top model,Crop:CropPhenology.ThermalTime";"Top model,Crop:Unit_0.OutDeposition"
2.45531e+06;0;0;0;0
2.45531e+06;9.95;13.95;9.95;0
2.45531e+06;9.55;13.55;19.5;0
2.45531e+06;14.15;18.15;33.65;0
2.45531e+06;11.25;15.25;44.9;0
2.45531e+06;9.05;13.05;53.95;0
2.45532e+06;13.4;17.4;67.35;0
2.45532e+06;8.85;12.85;76.2;0
2.45532e+06;11.05;15.05;87.25;0
2.45532e+06;7;11;94.25;0
2.45532e+06;10.05;14.05;104.3;0
2.45532e+06;7.55;11.55;111.85;0
2.45532e+06;8.95;12.95;120.8;0
2.45532e+06;9.95;13.95;130.75;0
2.45532e+06;10.85;14.85;141.6;0
2.45532e+06;12.1;16.1;153.7;0
2.45532e+06;11.8;15.8;165.5;0
2.45533e+06;11.65;15.65;177.15;0
2.45533e+06;14.35;18.35;191.5;0
2.45533e+06;15.9;19.9;207.4;0
2.45533e+06;13.05;17.05;220.45;0
2.45533e+06;12.05;16.05;232.5;0
2.45533e+06;12.4;16.4;244.9;0
2.45533e+06;16.15;20.15;261.05;0
2.45533e+06;11.95;15.95;273;0
2.45533e+06;15.5;19.5;288.5;0
2.45534e+06;14.7;18.7;303.2;0
2.45534e+06;12.8;16.8;316;0
2.45534e+06;15.3;19.3;331.3;0
2.45534e+06;15.25;19.25;346.55;0
2.45534e+06;13.55;17.55;360.1;0
2.45534e+06;15.6;19.6;375.7;0
2.45534e+06;15.65;19.65;391.35;0
2.45534e+06;18.1;22.1;409.45;0
2.45534e+06;19.05;23.05;428.5;0
2.45534e+06;18.65;22.65;447.15;0
2.45534e+06;19;23;466.15;0
2.45535e+06;20.55;24.55;486.7;0
2.45535e+06;19.65;23.65;506.35;0
2.45535e+06;20.85;24.85;527.2;0
2.45535e+06;16.85;20.85;544.05;0
2.45535e+06;14.6;18.6;558.65;0
2.45535e+06;17;21;575.65;0
2.45535e+06;13.75;17.75;589.4;0
2.45535e+06;13.3;17.3;602.7;0
2.45535e+06;17.1;21.1;619.8;0
2.45536e+06;16.5;20.5;636.3;0
2.45536e+06;13.55;17.55;649.85;0
2.45536e+06;15.9;19.9;665.75;0
2.45536e+06;15.75;19.75;681.5;0
2.45536e+06;13.75;17.75;695.25;0
2.45536e+06;12.6;16.6;707.85;0
2.45536e+06;15.55;19.55;723.4;0
2.45536e+06;16.4;20.4;739.8;0
2.45536e+06;16.45;20.45;756.25;0
2.45536e+06;17.15;21.15;773.4;0
2.45536e+06;15.3;19.3;788.7;0
2.45537e+06;16.8;20.8;805.5;0
2.45537e+06;15.85;19.85;821.35;0
2.45537e+06;17.85;21.85;839.2;0
2.45537e+06;17.5;21.5;856.7;0
2.45537e+06;20.2;24.2;876.9;0
2.45537e+06;20.95;24.95;897.85;0
2.45537e+06;19.35;23.35;917.2;0
2.45537e+06;19.9;23.9;937.1;0
2.45537e+06;19.05;23.05;956.15;0
2.45538e+06;18.45;22.45;974.6;0
2.45538e+06;20.35;24.35;994.95;0
2.45538e+06;20.15;24.15;1015.1;0
2.45538e+06;22.1;26.1;1037.2;0
2.45538e+06;22.5;26.5;1059.7;0
2.45538e+06;20.9;24.9;1080.6;0
2.45538e+06;18.95;22.95;1099.55;0
2.45538e+06;18.9;22.9;1118.45;0
2.45538e+06;19.8;23.8;1138.25;0
2.45538e+06;19.5;23.5;1157.75;0
2.45538e+06;17.8;21.8;1175.55;0
2.45539e+06;18.6;22.6;1194.15;0
2.45539e+06;19.5;23.5;1213.65;0
2.45539e+06;20.25;24.25;1233.9;0
2.45539e+06;20;24;1253.9;0
2.45539e+06;20.4;24.4;1274.3;0
2.45539e+06;20.6;24.6;1294.9;0
2.45539e+06;17.6;21.6;1312.5;0
2.45539e+06;14.95;18.95;1327.45;0
2.45539e+06;14.55;18.55;1342;0
2.4554e+06;15.3;19.3;1357.3;0
2.4554e+06;18;22;1375.3;0
2.4554e+06;14;18;1389.3;0
2.4554e+06;16.4;20.4;1405.7;0
2.4554e+06;15.95;19.95;1421.65;0
2.4554e+06;17.25;21.25;1438.9;0
2.4554e+06;18.95;22.95;1457.85;0
2.4554e+06;21.4;25.4;1479.25;0
2.4554e+06;20;24;1499.25;0
2.4554e+06;20.55;24.55;1519.8;0
2.4554e+06;22.1;26.1;1541.9;0
2.45541e+06;21.55;25.55;1563.45;0
2.45541e+06;21.95;25.95;1585.4;0
2.45541e+06;23.2;27.2;1608.6;0
2.45541e+06;21.95;25.95;1630.55;0
2.45541e+06;24.3;28.3;1654.85;0
2.45541e+06;20.85;24.85;1675.7;0
2.45541e+06;21.6;25.6;1697.3;0
2.45541e+06;19.95;23.95;1717.25;0
2.45541e+06;17.95;21.95;1735.2;0
2.45542e+06;19.25;23.25;1754.45;0
2.45542e+06;19.3;23.3;1773.75;0
2.45542e+06;20.8;24.8;1794.55;0
2.45542e+06;19.8;23.8;1814.35;0
2.45542e+06;17.6;21.6;1831.95;0
2.45542e+06;17.8;21.8;1849.75;0
2.45542e+06;16.8;20.8;1866.55;0
2.45542e+06;17.4;21.4;1883.95;0
2.45542e+06;17.2;21.2;1901.15;0
2.45542e+06;20.15;24.15;1921.3;0
2.45542e+06;18.8;22.8;1940.1;0
2.45543e+06;20.8;24.8;1960.9;0
2.45543e+06;17.45;21.45;1978.35;0
2.45543e+06;17.95;21.95;1996.3;0
2.45543e+06;20.1;24.1;2016.4;0
2.45543e+06;19;23;2035.4;0
2.45543e+06;20.85;24.85;2056.25;0
2.45543e+06;21.35;25.35;2077.6;0
2.45543e+06;20.85;24.85;2098.45;0
2.45543e+06;21.45;25.45;2119.9;0
2.45544e+06;21;25;2140.9;0
2.45544e+06;21.1;25.1;2162;0
2.45544e+06;22.55;26.55;2184.55;0
2.45544e+06;21.85;25.85;2206.4;0
2.45544e+06;21.6;25.6;2228;0
2.45544e+06;18.95;22.95;2246.95;0
2.45544e+06;16.95;20.95;2263.9;0
2.45544e+06;15.7;19.7;2279.6;0
2.45544e+06;13.75;17.75;2293.35;0
2.45544e+06;17.85;21.85;2311.2;0
2.45544e+06;13.6;17.6;2324.8;0
2.45545e+06;14.1;18.1;2338.9;0
2.45545e+06;18.5;22.5;2357.4;0
2.45545e+06;17.75;21.75;2375.15;0
2.45545e+06;18.6;22.6;2393.75;0
2.45545e+06;14.05;18.05;2407.8;0
2.45545e+06;11.95;15.95;2419.75;0
2.45545e+06;13.15;17.15;2432.9;0
2.45545e+06;13.8;17.8;2446.7;0
2.45545e+06;15.1;19.1;2461.8;0
2.45546e+06;14.05;18.05;2475.85;0
2.45546e+06;16.1;20.1;2491.95;0
2.45546e+06;11.05;15.05;2503;0
2.45546e+06;8.85;12.85;2511.85;0


